subject,description,integration,objective,quality,refactoring,testing,categoryCount,subjDescription
add chrony time sync small ,switch time sync prefer chrony client instal here  slightly setup function rather timer start function like setupy thing do iecbcfaddccdbfc chrony install systemconfig changeid idbdaceaecafcbecc,0,1,0,0,0,1,add chrony time sync small  switch time sync prefer chrony client instal here  slightly setup function rather timer start function like setupy thing do iecbcfaddccdbfc chrony install systemconfig changeid idbdaceaecafcbecc
add keylistener ed timeline,change add keylistener navigate test rectangles timeline outofview test select timeline refocus bring view functionality leave right arrow key support to navigate workers key support add future patch changeid iaacdeddbcaafe,0,1,0,0,1,2,add keylistener ed timeline change add keylistener navigate test rectangles timeline outofview test select timeline refocus bring view functionality leave right arrow key support to navigate workers key support add future patch changeid iaacdeddbcaafe
add new test code ing,changeid icfdecacebddbaddfeca,0,0,0,0,1,1,add new test code ing changeid icfdecacebddbaddfeca
add scheduler unit test enable bug fix ing,improve coverage dvr schedule allow safer bug fix ing followon patch changeid ideadcabaeebacbfcac partialbug partialbug coauthoredby swaminathan vasudevan swaminathan vasudevan hp com coauthoredby carl baldwin carl baldwin hp com,0,1,0,0,1,2,add scheduler unit test enable bug fix ing improve coverage dvr schedule allow safer bug fix ing followon patch changeid ideadcabaeebacbfcac partialbug partialbug coauthoredby swaminathan vasudevan swaminathan vasudevan hp com coauthoredby carl baldwin carl baldwin hp com
add speclite scrubber ,discuss ptg session remove image api changeid iecfdffbcbadaccbf,1,1,0,0,0,2,add speclite scrubber  discuss ptg session remove image api changeid iecfdffbcbadaccbf
add test ing bay create,add test  bay create rpc handler contain temporary implementation update master address  rpc handler test changeid idcddbbdaccaefcbf,0,1,0,0,1,2,add test ing bay create add test  bay create rpc handler contain temporary implementation update master address  rpc handler test changeid idcddbbdaccaefcbf
add update testrail field functionality testrail reporter small ing description parse,add update case method testrail client pull parse custom case field get custom case field method add get field to update method test case uploader change log message uptodate case add new file datetime util py add method convert duration testrail estimate format register new file doc testrail rst change duration regexp pull compile instance pull test discover test plan creation create test plan from registry function pull case check be case processable function pull test case getter action get test case name function pull case not include verification be not include function pull case exclude verification be exclude function pull docstring getter action get docstring function pull docstring parse action parse docstring function add support multiline title test case step changeid ibebabdfbedaddb closesbug cherry pick commit acdadbfdbeaeaaddfdc,0,1,0,0,1,2,add update testrail field functionality testrail reporter small ing description parse add update case method testrail client pull parse custom case field get custom case field method add get field to update method test case uploader change log message uptodate case add new file datetime util py add method convert duration testrail estimate format register new file doc testrail rst change duration regexp pull compile instance pull test discover test plan creation create test plan from registry function pull case check be case processable function pull test case getter action get test case name function pull case not include verification be not include function pull case exclude verification be exclude function pull docstring getter action get docstring function pull docstring parse action parse docstring function add support multiline title test case step changeid ibebabdfbedaddb closesbug cherry pick commit acdadbfdbeaeaaddfdc
add  functional api test,functional test add increase coverage exist test case fix apparently format properly changeid icaccccacaecdaf,0,1,1,0,1,3,add  functional api test functional test add increase coverage exist test case fix apparently format properly changeid icaccccacaecdaf
add comment ed add rule by security group,add comment extract fix egress rule addition separate function partially implement blueprint iptablesfirewalldriver changeid ifbbffefdddaeedeaae,0,1,0,0,0,1,add comment ed add rule by security group add comment extract fix egress rule addition separate function partially implement blueprint iptablesfirewalldriver changeid ifbbffefdddaeedeaae
add task object rest handlers ed,add task object api handlers ed changeid iffcbcacaaebdfdaacf,1,1,0,0,0,2,add task object rest handlers ed add task object api handlers ed changeid iffcbcacaaebdfdaacf
add intial compute service client add support list get flavor information add unit test new compute service client ing storageserviceclinetcontext generic serviceclientcontext create base class service clients order maximize code reuse,partially implement blueprint supportcomputeapi changeid ibfdfcfdacfafebddb,1,1,0,0,1,3,add intial compute service client add support list get flavor information add unit test new compute service client ing storageserviceclinetcontext generic serviceclientcontext create base class service clients order maximize code reuse partially implement blueprint supportcomputeapi changeid ibfdfcfdacfafebddb
add support recent puppet module ,puppetopenshift origin module recently go  preperation oso release patch change necessary puppet parameters template continue function changeid iaebfeeecafdad,0,1,0,0,0,1,add support recent puppet module  puppetopenshift origin module recently go  preperation oso release patch change necessary puppet parameters template continue function changeid iaebfeeecafdad
add test client module s,s client get client function separate client get client with token client get client with credentials s dict manipulation test test utils raise valueerror client get client kwargs meet requirements add test client get client with token add test client get client with credentials add test client get token and endpoint add test client get client add test client client changeid ieddfbcdcbdcddecfcdfde,0,1,1,0,1,3,add test client module s s client get client function separate client get client with token client get client with credentials s dict manipulation test test utils raise valueerror client get client kwargs meet requirements add test client get client with token add test client get client with credentials add test client get token and endpoint add test client get client add test client client changeid ieddfbcdcbdcddecfcdfde
advanved stack action heat ostf test ing,optimize work stack resources add new method get stack resources allow return list desire stack resources not servers criteria commit get stack instance method remove test use get stack resources add check statuses resources code style change implement heatostftesting changeid ifccfffcfebdedbadc,0,1,1,0,1,3,advanved stack action heat ostf test ing optimize work stack resources add new method get stack resources allow return list desire stack resources not servers criteria commit get stack instance method remove test use get stack resources add check statuses resources code style change implement heatostftesting changeid ifccfffcfebdedbadc
agent db ,variant neutron agents share database model store basic information configurations dynamic workload data neutronserver depend apply correct operations produce api response schedule ha also maintain transport data performance factor neutron believe db model need  base think scenarios first currently attribute identify agent logical status initialize ready data sync error agent connect neutronserver admin state liven check server side mean neutronserver apply operations agent blindly second agents send heartbeat message transport data however carry parse static data write db everytime inefficient wed like static dynamic data decouple agent db model agent need send static data once subsequent heartbeats carry dynamic data changeid ibdaaedceacdedfaa blueprint agentdb,1,1,1,0,0,3,agent db  variant neutron agents share database model store basic information configurations dynamic workload data neutronserver depend apply correct operations produce api response schedule ha also maintain transport data performance factor neutron believe db model need  base think scenarios first currently attribute identify agent logical status initialize ready data sync error agent connect neutronserver admin state liven check server side mean neutronserver apply operations agent blindly second agents send heartbeat message transport data however carry parse static data write db everytime inefficient wed like static dynamic data decouple agent db model agent need send static data once subsequent heartbeats carry dynamic data changeid ibdaaedceacdedfaa blueprint agentdb
alternate  info cache,reimplementation work david hadas at rework mainly head state things be state try in require there felt things right davids work loss explain why hopefully help rereview work im mainly post reviewers davids work better view things different perspective consider ideas alternatives area tread lightly start state things mess end state cleaner perfect now like approach better of course write let state why allinone function know david want disagree allinones harder read easier mistake use elsewhere have separate doesnt prevent make allinone call separate function convenience honestly quick if container container func else account func harder type read magic head happen set cache value and dont blow things up implement standin proxy app wouldnt expect fee cache implement head functionality approach cache stay cache function fail gracefully account autocreation happen controllers account py indicate theyre ask account information order perform pending write account autocreated configure so comment liberally patch set help reviewer understand change why final patch set need clear comment theyre noise fact probably separate review merge history isnt completely lose especially careful alter exist test little possible comment liberally change things truly candidate merge new test new function functionality need add note need fix test paths wow talk lot screwy paths place use paths like test happen pass time rely controller account name container name path info need fix paths point changeid ifddeabadeafdddb,0,1,1,0,1,3,alternate  info cache reimplementation work david hadas at rework mainly head state things be state try in require there felt things right davids work loss explain why hopefully help rereview work im mainly post reviewers davids work better view things different perspective consider ideas alternatives area tread lightly start state things mess end state cleaner perfect now like approach better of course write let state why allinone function know david want disagree allinones harder read easier mistake use elsewhere have separate doesnt prevent make allinone call separate function convenience honestly quick if container container func else account func harder type read magic head happen set cache value and dont blow things up implement standin proxy app wouldnt expect fee cache implement head functionality approach cache stay cache function fail gracefully account autocreation happen controllers account py indicate theyre ask account information order perform pending write account autocreated configure so comment liberally patch set help reviewer understand change why final patch set need clear comment theyre noise fact probably separate review merge history isnt completely lose especially careful alter exist test little possible comment liberally change things truly candidate merge new test new function functionality need add note need fix test paths wow talk lot screwy paths place use paths like test happen pass time rely controller account name container name path info need fix paths point changeid ifddeabadeafdddb
api v post sample ing,ing post sample rest api set correct source publisher context content pipeline check admin role case test fix bug fix bug changeid idaeeddfbaeadfebfbff,0,1,1,0,1,3,api v post sample ing ing post sample rest api set correct source publisher context content pipeline check admin role case test fix bug fix bug changeid idaeeddfbaeadfebfbff
assignment sql backend create grant ing,move calculate type function class method assignmenttype changeid ibaecabbafdfbebfaef,0,0,0,1,0,1,assignment sql backend create grant ing move calculate type function class method assignmenttype changeid ibaecabbafdfbebfaef
auth ,switch selfcontained django openstack auth package proper django contrib auth pluggable backend notable functional improvements include better overall security use standard django auth code wellvetted security experts token expiration check user enable attribute check support range django auth attribute be anonymous be active be superuser etc improve hook rbac permissionbased ace control rbac permissionbased access control patch move role service orient check permission check transition policydriven check easier fully land openstack implement blueprint movekeystonesupporttodjangoauthbackend changeid ifafaffcceccaaed,0,1,0,0,0,1,auth  switch selfcontained django openstack auth package proper django contrib auth pluggable backend notable functional improvements include better overall security use standard django auth code wellvetted security experts token expiration check user enable attribute check support range django auth attribute be anonymous be active be superuser etc improve hook rbac permissionbased ace control rbac permissionbased access control patch move role service orient check permission check transition policydriven check easier fully land openstack implement blueprint movekeystonesupporttodjangoauthbackend changeid ifafaffcceccaaed
blockstorage behaviors  versioning implement exceptionraising behaviors volumes api remove blockstorage provider add volume snapshot statuses model ed response model versioned volumes api v clean rax auth extensions fix volumetypelist model add default volume type config property,changeid iedeebebcadbff change name base volumes api model changeid iadefeeeeecadecab,1,1,0,0,0,2,blockstorage behaviors  versioning implement exceptionraising behaviors volumes api remove blockstorage provider add volume snapshot statuses model ed response model versioned volumes api v clean rax auth extensions fix volumetypelist model add default volume type config property changeid iedeebebcadbff change name base volumes api model changeid iadefeeeeecadecab
blockstorage behaviors  versioning implement exceptionraising behaviors volumes api remove blockstorage provider add volume snapshot statuses model ed response model versioned volumes api v add stub v clean rax auth extensions fix volumetypelist model add default volume type config property,implement exceptionraising behaviors volumes api remove blockstorage provider add volume snapshot statuses model ed response model versioned volumes api add stub clean auth changeid ifbeddcebeebddcfbf,1,0,0,0,1,2,blockstorage behaviors  versioning implement exceptionraising behaviors volumes api remove blockstorage provider add volume snapshot statuses model ed response model versioned volumes api v add stub v clean rax auth extensions fix volumetypelist model add default volume type config property implement exceptionraising behaviors volumes api remove blockstorage provider add volume snapshot statuses model ed response model versioned volumes api add stub clean auth changeid ifbeddcebeebddcfbf
blockstorage test  buildout,fix expand blockstorage test fixtures add work auth integration add blockstorage data drive test dataset list generator class add volume type dataset list generator add volume snapshot datadriven smoketests update osvolume attachments api integration reflect upstream change update compute volume integration test reflact upstream change changeid iebaafdeadcdc,0,1,1,0,1,3,blockstorage test  buildout fix expand blockstorage test fixtures add work auth integration add blockstorage data drive test dataset list generator class add volume type dataset list generator add volume snapshot datadriven smoketests update osvolume attachments api integration reflect upstream change update compute volume integration test reflact upstream change changeid iebaafdeadcdc
cdh plugin config helper ing,commit encapulate cdh plugin config helper class better extensibility change config helper create sahara plugins cdh config helper py general part confighelper provide instance confighelper minimize change outside remove function prepare value use lambda instead add method load and init configs load file convert dict config object long string file change outside config helper change mudules depend config helper import config helper config changeid icccfacaaaedae,0,1,1,0,0,2,cdh plugin config helper ing commit encapulate cdh plugin config helper class better extensibility change config helper create sahara plugins cdh config helper py general part confighelper provide instance confighelper minimize change outside remove function prepare value use lambda instead add method load and init configs load file convert dict config object long string file change outside config helper change mudules depend config helper import config helper config changeid icccfacaaaedae
cli color ed,color store module output color factor separate utility function state color map implement dictionary instead multiple conditionals signedoffby jiri podivin jpodivin redhat com changeid ifcdfdddecceeadcd,0,1,0,1,0,2,cli color ed color store module output color factor separate utility function state color map implement dictionary instead multiple conditionals signedoffby jiri podivin jpodivin redhat com changeid ifcdfdddecceeadcd
ceilometerapi gnocchiapi wsgi ,wsgi apps apis bump gnocchi package version pythonopenssl bug changeid icacfeceeedbf,1,1,0,0,0,2,ceilometerapi gnocchiapi wsgi  wsgi apps apis bump gnocchi package version pythonopenssl bug changeid icacfeceeedbf
clean test property decorators ,change remove decorator function deprecate  function longer bandit code base grep check core test properties py logger debug check decorator function execute core test properties py def check function func core test properties py def check call func core test properties py def check import func core test properties py def check string func core test properties py def check exec func minor tweak correct debug output changeid iffdecadfafeba,0,1,1,0,1,3,clean test property decorators  change remove decorator function deprecate  function longer bandit code base grep check core test properties py logger debug check decorator function execute core test properties py def check function func core test properties py def check call func core test properties py def check import func core test properties py def check string func core test properties py def check exec func minor tweak correct debug output changeid iffdecadfafeba
cleanup  csr validate function certificate ops,changeid iceeffadaebbda,0,0,0,1,0,1,cleanup  csr validate function certificate ops changeid iceeffadaebbda
cleanup  methods unit test security group rpc,string repeat code constant form ed global configuration change handle function enhance code readability changeid idecdaabefabaedfdd,0,1,1,0,0,2,cleanup  methods unit test security group rpc string repeat code constant form ed global configuration change handle function enhance code readability changeid idecdaabefabaedfdd
cleanup ing identity docs bug,clean  identity docs bug changeid ibeecceebdaeaf,0,1,1,0,0,2,cleanup ing identity docs bug clean  identity docs bug changeid ibeecceebdaeaf
cleanup business logic ,patchset resolve minor nits include proper translation couple string exceptions order addcleanup test keystoneclient simple whitespace change line readable add bug reference comment change response comment deletion business logic  move business logic controllers api managers changeid iaafbbeaeedebdd bp assignmentcontrollerfirstclass,0,1,1,0,0,2,cleanup business logic  patchset resolve minor nits include proper translation couple string exceptions order addcleanup test keystoneclient simple whitespace change line readable add bug reference comment change response comment deletion business logic  move business logic controllers api managers changeid iaafbbeaeedebdd bp assignmentcontrollerfirstclass
cleanup  neutron agent linux iptables firewall py,split long function smaller ones normalize ipset normal security group rule generation add log error nottohappen condition changeid ifcececaccafac,0,0,1,1,0,2,cleanup  neutron agent linux iptables firewall py split long function smaller ones normalize ipset normal security group rule generation add log error nottohappen condition changeid ifcececaccafac
code  generate integer testcase,remove need import random unit object test base py test tool py function call there changeid icfdffbebcfefadffe,0,1,1,0,1,3,code  generate integer testcase remove need import random unit object test base py test tool py function call there changeid icfdffbebcfefadffe
code  monascaapi resources,ed variables pull method call variable boost readability changeid ibbaabfbeecbcce,1,0,1,0,0,2,code  monascaapi resources ed variables pull method call variable boost readability changeid ibbaabfbeecbcce
code  vv,ing code reuse functionality possible changeid icfdcafacbeaed,0,0,1,0,0,1,code  vv ing code reuse functionality possible changeid icfdcafacbeaed
code ing entitygraph class functionality move processor utils,changeid ifeceeafbcfcadbdeabebf,0,1,0,1,1,3,code ing entitygraph class functionality move processor utils changeid ifeceeafbcfcadbdeabebf
code ing add ssh test,class lhostroutesgatewaymixin instance ed common module scenario test use future ssh connectivity test origin destination instance add lhostroutesgatewaytest changeid iccfcbfdfbeabbd,0,1,0,0,1,2,code ing add ssh test class lhostroutesgatewaymixin instance ed common module scenario test use future ssh connectivity test origin destination instance add lhostroutesgatewaytest changeid iccfcbfdfbeabbd
code ing improvements muranopl test miniframework,stacktraces catch exceptions longer print python warn exception message deprecate load yaml file cache instead reread test greatly increase performance effect classloader new test object model helper object test method arguments path core library class relative test prevent group test subfolders preserve original stacktrace python exceptions throw engine ability delete clear trace produce call trace muranopl code code ing changeid ifabdaceeddaeaadd,0,1,1,0,1,3,code ing improvements muranopl test miniframework stacktraces catch exceptions longer print python warn exception message deprecate load yaml file cache instead reread test greatly increase performance effect classloader new test object model helper object test method arguments path core library class relative test prevent group test subfolders preserve original stacktrace python exceptions throw engine ability delete clear trace produce call trace muranopl code code ing changeid ifabdaceeddaeaadd
code ing couchdb,code change permissions function couchdb service py ed addition translation add runtimeerror message miss underscore translation changeid ieadbecedbbdbccdac closesbug,1,1,0,0,0,2,code ing couchdb code change permissions function couchdb service py ed addition translation add runtimeerror message miss underscore translation changeid ieadbecedbbdbccdac closesbug
code ing couchdb,code change permissions function couchdb service py ed addition translation add runtimeerror message miss underscore translation replace shell call respective operate system service command start stop enable disable change permissions modify test necessary create operate system service command change user group associate test changeid iaafaadceddfcfabca,1,1,1,0,0,3,code ing couchdb code change permissions function couchdb service py ed addition translation add runtimeerror message miss underscore translation replace shell call respective operate system service command start stop enable disable change permissions modify test necessary create operate system service command change user group associate test changeid iaafaadceddfcfabca
cod standards style  runner,reorder import replace instance use style string format python compatible format string format remove use newline escape line break stack paramaters increase readability remove redundant tryexcepts ed tag attr check methods remove use eval changeid iaadeebbecefee,0,1,1,0,0,2,cod standards style  runner reorder import replace instance use style string format python compatible format string format remove use newline escape line break stack paramaters increase readability remove redundant tryexcepts ed tag attr check methods remove use eval changeid iaadeebbecefee
colorize neutron log output  log setup code,bug patch add color onscreen neutron log output way nova cinder heat engine do aim log configuration instructions move function reason ing instruction project exception target configuration file changeid idfdbbbabcefdedfcbfdfd,0,1,0,0,0,1,colorize neutron log output  log setup code bug patch add color onscreen neutron log output way nova cinder heat engine do aim log configuration instructions move function reason ing instruction project exception target configuration file changeid idfdbbbabcefdedfcbfdfd
complete  glancestores api,changeid ifcadfbfabbadfec,1,0,0,0,0,1,complete  glancestores api changeid ifcadfbfabbadfec
complete  glancestores api,blueprint glancestore changeid idcffbbfccbaec,1,0,0,0,0,1,complete  glancestores api blueprint glancestore changeid idcffbbfccbaec
complete session hadling ing,part ed session creation simplify session create desperately need maximize instead uncontrollable produce block code suppose communicate db ing simplify db data transfer management make explicit develop unit functional test update changeid iafdacacfbffafdab,1,1,1,0,1,4,complete session hadling ing part ed session creation simplify session create desperately need maximize instead uncontrollable produce block code suppose communicate db ing simplify db data transfer management make explicit develop unit functional test update changeid iafdacacfbffafdab
contexts interface ing,add methods retrieve context key check data function presence delete data function recursion eliminate collect function move base class use inheritors get function api bug multicontext fix unit test add changeid ibeadcdfdeeacea,1,1,0,0,0,2,contexts interface ing add methods retrieve context key check data function presence delete data function recursion eliminate collect function move base class use inheritors get function api bug multicontext fix unit test add changeid ibeadcdfdeeacea
continue ing image,ing monster with switch bunch cloud image methods image proxy methods add new image image attribute fix image properties add global support keep unknown attribute properties attr turn function lose openstackcloud split sadly unittests add ability create image data require osc switch sdk changeid iddadaededf,0,1,0,0,0,1,continue ing image ing monster with switch bunch cloud image methods image proxy methods add new image image attribute fix image properties add global support keep unknown attribute properties attr turn function lose openstackcloud split sadly unittests add ability create image data require osc switch sdk changeid iddadaededf
convergence  worker, worker service check resource code class convergence worker api clean  help contain convergence logic separate class file instead rcp api future rpc api new api add it changeid iecfdabaebffcacecefefad,1,1,0,0,0,2,convergence  worker  worker service check resource code class convergence worker api clean  help contain convergence logic separate class file instead rcp api future rpc api new api add it changeid iecfdabaebffcacecefefad
create base tool ing configuration model,wip create base tool ing configuration class create base class eredited new configuration class pythonic way collectd ceilometer import attribute class configuration attribute hasattributes verbose attribute boolean false configuration parse sue like this configuration configuration assert configuration verbose false configuration verbose assert configuration verbose true changeid ibbdbeedbfadfeaeeffd relatedbug,1,1,1,0,0,3,create base tool ing configuration model wip create base tool ing configuration class create base class eredited new configuration class pythonic way collectd ceilometer import attribute class configuration attribute hasattributes verbose attribute boolean false configuration parse sue like this configuration configuration assert configuration verbose false configuration verbose assert configuration verbose true changeid ibbdbeedbfadfeaeeffd relatedbug
create rbac utils fixture  test,commit create test fixture rbac utils rbacutils s test rbac utils test accordingly allow test use fixture need improve code maintenance readability ease test write specifically add fixtures file override conf settings rbac utils rbacutils s rbac utils test use appropriate fixture changeid ifffecfeefbdd,0,1,1,0,1,3,create rbac utils fixture  test commit create test fixture rbac utils rbacutils s test rbac utils test accordingly allow test use fixture need improve code maintenance readability ease test write specifically add fixtures file override conf settings rbac utils rbacutils s rbac utils test use appropriate fixture changeid ifffecfeefbdd
db api ing,change create new db api file grow large module separate file correspond db model changeid ieddeddcebcccc,1,1,0,0,0,2,db api ing change create new db api file grow large module separate file correspond db model changeid ieddeddcebcccc
db code  simplify cleanup,centralize common function be image visible remove unused copy paste version be image mutable changeid ieeeffeebfdaefcff,0,0,1,0,0,1,db code  simplify cleanup centralize common function be image visible remove unused copy paste version be image mutable changeid ieeeffeebfdaefcff
db toolkit ing,code control db relate toolkit create orm sessions engines ed change purpose simplifiying unify mention logic reuse process withoud beind compromise dependency pecan conf attribute changeid iafdadaeaadfadfa,1,1,1,0,0,3,db toolkit ing code control db relate toolkit create orm sessions engines ed change purpose simplifiying unify mention logic reuse process withoud beind compromise dependency pecan conf attribute changeid iafdadaeaadfadfa
db  networkingmlnx db,patch follow remove unused db api change sdn journal data text add monitor state sdn journal state add api row monitroing state changeid iaceeddadcccedfadccd,1,1,0,0,0,2,db  networkingmlnx db patch follow remove unused db api change sdn journal data text add monitor state sdn journal state add api row monitroing state changeid iaceeddadcccedfadccd
delete v image image id ing,s test use image behavior functionality changeid iafcdababecaf,0,0,0,1,1,2,delete v image image id ing s test use image behavior functionality changeid iafcdababecaf
delete v image image id members member id ing,s test use image behavior functionality changeid ieccfeaaafdcdfbea,0,0,0,1,1,2,delete v image image id members member id ing s test use image behavior functionality changeid ieccfeaaafdcdfbea
delete v image image id tag tag ing,s test use image behavior functionality changeid idfbbbeabffbeebc,0,0,0,1,1,2,delete v image image id tag tag ing s test use image behavior functionality changeid idfbbbeabffbeebc
dnm test  release,changeid idaadfeaacfaabfe,0,0,0,0,1,1,dnm test  release changeid idaadfeaacfaabfe
dnm commit test neutron worker ,previous neutron worker  break networkingovn revert patch set test update  ensure doesnt break networkingovn again changeid iddedeeecfbeaeedb dependson iaafdeefdcdf,0,1,0,0,1,2,dnm commit test neutron worker  previous neutron worker  break networkingovn revert patch set test update  ensure doesnt break networkingovn again changeid iddedeeecfbeaeedb dependson iaafdeefdcdf
dnm test buildimage job ,dependson changeid ibdcbefcffa,0,0,0,0,1,1,dnm test buildimage job  dependson changeid ibdcbefcffa
device ,replace device vnf test case continuation changeid iecfeafaebdfdfbfce,1,1,0,0,1,3,device  replace device vnf test case continuation changeid iecfeafaebdfdfbfce
device  part rename vm plugin db vnfm plugin db,device  part plugin db right directory plan test case changeid ieebfcbebabdafbb partialbug,0,1,0,0,1,2,device  part rename vm plugin db vnfm plugin db device  part plugin db right directory plan test case changeid ieebfcbebabdafbb partialbug
discover ing,discover logic change order perform optimisation discover process take place time ostfserver startup load db exist test data db test set correspond test data cache provide fast access test repository future discover particualar cluster add database information link need test set test cluster link process use data cache discover take time perform changeid ibcecaeedbaacafadad non major fix test ing testrun class model relationship test set association proxy function establish need clean action perform standalone testrun methods nose plugin consume data store test set object unit test except rest controllers update additional nonmajor ing perform changeid iefeedcfdeccb,1,1,1,0,1,4,discover ing discover logic change order perform optimisation discover process take place time ostfserver startup load db exist test data db test set correspond test data cache provide fast access test repository future discover particualar cluster add database information link need test set test cluster link process use data cache discover take time perform changeid ibcecaeedbaacafadad non major fix test ing testrun class model relationship test set association proxy function establish need clean action perform standalone testrun methods nose plugin consume data store test set object unit test except rest controllers update additional nonmajor ing perform changeid iefeedcfdeccb
 deepsix inpubrep,merge duplicate code deepsix inpubrep logic readable changeid idacacaaeaafbcbbbb,0,1,1,0,0,2, deepsix inpubrep merge duplicate code deepsix inpubrep logic readable changeid idacacaaeaafbcbbbb
emc vnx manila driver ing,emc vnx manila driver ing target follow aspects objectoriented storage objectoriented improve unit test coverage changeid ifbcadfcfeddfefeadedaf implement blueprint emcvnxmaniladrivering,0,1,0,0,1,2,emc vnx manila driver ing emc vnx manila driver ing target follow aspects objectoriented storage objectoriented improve unit test coverage changeid ifbcadfcfeddfefeadedaf implement blueprint emcvnxmaniladrivering
fc  fczm utils decorators function,patch change fibre channel zone manager utility decorators function function call manually intention unify fc drivers declare vs iscsi magic decorators fc drivers only changeid ieeebbafeaddfaedf,0,1,1,0,0,2,fc  fczm utils decorators function patch change fibre channel zone manager utility decorators function function call manually intention unify fc drivers declare vs iscsi magic decorators fc drivers only changeid ieeebbafeaddfaedf
